Manufacturer,Series,Model Number,AC Power (kW),Approval Date,Expiry date
8 Star Energy Pty Ltd,Energizer Solar Force S Series,Force 10.0S (AS4777-2 2020),10,29/09/2022,29/09/2025
8 Star Energy Pty Ltd,Energizer Solar Force S Series,Force 10.5S (AS4777-2 2020),10.5,29/09/2022,29/09/2025
8 Star Energy Pty Ltd,Energizer Solar Force S Series,Force 7.0S (AS4777-2 2020),7,29/09/2022,29/09/2025
8 Star Energy Pty Ltd,Energizer Solar Force S Series,Force 8.0S (AS4777-2 2020),8,29/09/2022,29/09/2025
8 Star Energy Pty Ltd,Energizer Solar Force S Series,Force 9.0S (AS4777-2 2020),9,29/09/2022,29/09/2025
8 Star Energy Pty Ltd,Energizer Solar Force Series,Force 3.6S (AS4777-2 2020),3.6,5/04/2023,5/04/2026
8 Star Energy Pty Ltd,Energizer Solar Force Series,Force 3S (AS4777-2 2020),3,5/04/2023,5/04/2026
8 Star Energy Pty Ltd,Energizer Solar Force Series,Force 4.6S (AS4777-2 2020),4.6,5/04/2023,5/04/2026
8 Star Energy Pty Ltd,Energizer Solar Force Series,Force 5S (AS4777-2 2020),5,5/04/2023,5/04/2026
8 Star Energy Pty Ltd,Energizer Solar Force Series,Force 6S (AS4777-2 2020),6,5/04/2023,5/04/2026
8 Star Energy Pty Ltd,Force HS-AS Series,FORCE 3.0HS (AS4777-2 2020),3,4/04/2024,4/04/2027
8 Star Energy Pty Ltd,Force HS-AS Series,FORCE 3.7HS (AS4777-2 2020),3.68,4/04/2024,4/04/2027
8 Star Energy Pty Ltd,Force HS-AS Series,FORCE 4.6HS (AS4777-2 2020),4.6,4/04/2024,4/04/2027
8 Star Energy Pty Ltd,Force HS-AS Series,FORCE 5.0HS (AS4777-2 2020),5,4/04/2024,4/04/2027
8 Star Energy Pty Ltd,Force HS-AS Series,FORCE 6.0HS (AS4777-2 2020),6,4/04/2024,4/04/2027
Afore New Energy Technology (Shanghai) Co Ltd,HNS SERIES,HNS10000TL (AS4777-2 2020),10,24/03/2022,24/03/2025
Afore New Energy Technology (Shanghai) Co Ltd,HNS SERIES,HNS3000TL (AS4777-2 2020),3,24/03/2022,24/03/2025
Afore New Energy Technology (Shanghai) Co Ltd,HNS SERIES,HNS3600TL (AS4777-2 2020),3.6,24/03/2022,24/03/2025
Afore New Energy Technology (Shanghai) Co Ltd,HNS SERIES,HNS4000TL (AS4777-2 2020),4,24/03/2022,24/03/2025
Afore New Energy Technology (Shanghai) Co Ltd,HNS SERIES,HNS5000TL (AS4777-2 2020),5,24/03/2022,24/03/2025
Afore New Energy Technology (Shanghai) Co Ltd,HNS SERIES,HNS5000TL6 (AS4777-2 2020),5,24/03/2022,24/03/2025
Afore New Energy Technology (Shanghai) Co Ltd,HNS SERIES,HNS6000TL (AS4777-2 2020),6,24/03/2022,24/03/2025
Afore New Energy Technology (Shanghai) Co Ltd,HNS SERIES,HNS7000TL (AS4777-2 2020),7,24/03/2022,24/03/2025
Afore New Energy Technology (Shanghai) Co Ltd,HNS SERIES,HNS8000TL (AS4777-2 2020),8,24/03/2022,24/03/2025
